annotator,document,system,corpus,score,,
5,6,prophetnet,cnndm,4,,
5,6,bart,cnndm,4,,
5,6,bertextabs,cnndm,5,,
5,7,pegasus,cnndm,3,,
5,7,prophetnet,cnndm,4,,
5,7,bart,cnndm,4,,
5,7,bertextabs,cnndm,3,,
5,8,pegasus,cnndm,4,,
5,8,prophetnet,cnndm,5,,
5,8,bart,cnndm,3,,
5,8,bertextabs,cnndm,3,,
5,9,pegasus,cnndm,3,,
5,9,prophetnet,cnndm,4,,
5,9,bart,cnndm,3,,
5,9,bertextabs,cnndm,3,,
5,10,pegasus,cnndm,3,,
5,10,prophetnet,cnndm,3,,
5,10,bart,cnndm,3,,
5,10,bertextabs,cnndm,4,,
6,6,pegasus,cnndm,5,,
6,6,prophetnet,cnndm,4,,
6,6,bart,cnndm,5,,
6,6,bertextabs,cnndm,5,,
6,7,pegasus,cnndm,5,,
6,7,prophetnet,cnndm,4,,
6,7,bart,cnndm,5,,
6,7,bertextabs,cnndm,4,,
6,8,pegasus,cnndm,5,,
6,8,prophetnet,cnndm,5,,
6,8,bart,cnndm,5,,
6,8,bertextabs,cnndm,4,,
6,9,pegasus,cnndm,5,,
6,9,prophetnet,cnndm,5,,
6,9,bart,cnndm,5,,
6,9,bertextabs,cnndm,5,,
6,10,pegasus,cnndm,5,,
6,10,prophetnet,cnndm,5,,
6,10,bart,cnndm,5,,
6,10,bertextabs,cnndm,5,,
7,11,pegasus,cnndm,5,,
7,11,prophetnet,cnndm,2,,
7,11,bart,cnndm,5,,
7,11,bertextabs,cnndm,5,,
7,12,pegasus,cnndm,5,,
7,12,prophetnet,cnndm,5,,
7,12,bart,cnndm,5,,
7,12,bertextabs,cnndm,5,,
7,13,pegasus,cnndm,5,,
7,13,prophetnet,cnndm,4,,
7,13,bart,cnndm,4,,
7,13,bertextabs,cnndm,4,,
7,14,pegasus,cnndm,5,,
7,14,prophetnet,cnndm,4,,
7,14,bart,cnndm,5,,
7,14,bertextabs,cnndm,4,,
7,15,pegasus,cnndm,5,,
7,15,prophetnet,cnndm,3,,
7,15,bart,cnndm,5,,
7,15,bertextabs,cnndm,3,,
8,11,pegasus,cnndm,5,,
8,11,prophetnet,cnndm,5,,
8,11,bart,cnndm,4,,
8,11,bertextabs,cnndm,5,,
8,12,pegasus,cnndm,5,,
8,12,prophetnet,cnndm,5,,
8,12,bart,cnndm,5,,
8,12,bertextabs,cnndm,4,,
8,13,pegasus,cnndm,5,,
8,13,prophetnet,cnndm,5,,
8,13,bart,cnndm,4,,
8,13,bertextabs,cnndm,5,,
8,14,pegasus,cnndm,4,,
8,14,prophetnet,cnndm,4,,
8,14,bart,cnndm,5,,
8,14,bertextabs,cnndm,5,,
8,15,pegasus,cnndm,5,,
8,15,prophetnet,cnndm,4,,
8,15,bart,cnndm,5,,
8,15,bertextabs,cnndm,5,,
9,11,pegasus,cnndm,2,,
9,11,prophetnet,cnndm,2,,
9,11,bart,cnndm,3,,
9,11,bertextabs,cnndm,5,,
9,12,pegasus,cnndm,3,,
9,12,prophetnet,cnndm,2,,
9,12,bart,cnndm,4,,
9,12,bertextabs,cnndm,4,,
9,13,pegasus,cnndm,2,,
9,13,prophetnet,cnndm,3,,
9,13,bart,cnndm,4,,
9,13,bertextabs,cnndm,1,,
9,14,pegasus,cnndm,3,,
9,14,prophetnet,cnndm,2,,
9,14,bart,cnndm,3,,
9,14,bertextabs,cnndm,4,,
9,15,pegasus,cnndm,3,,
9,15,prophetnet,cnndm,3,,
9,15,bart,cnndm,2,,
9,15,bertextabs,cnndm,1,,
10,16,pegasus,cnndm,5,,
10,16,prophetnet,cnndm,3,,
10,16,bart,cnndm,2,,
10,16,bertextabs,cnndm,5,,
10,17,pegasus,cnndm,5,,
10,17,prophetnet,cnndm,4,,
10,17,bart,cnndm,3,,
10,17,bertextabs,cnndm,2,,
10,18,pegasus,cnndm,2,,
10,18,prophetnet,cnndm,3,,
10,18,bart,cnndm,4,,
10,18,bertextabs,cnndm,1,,
10,19,pegasus,cnndm,2,,
10,19,prophetnet,cnndm,4,,
10,19,bart,cnndm,4,,
10,19,bertextabs,cnndm,3,,
10,20,pegasus,cnndm,4,,
10,20,prophetnet,cnndm,2,,
10,20,bart,cnndm,3,,
10,20,bertextabs,cnndm,3,,
11,16,pegasus,cnndm,5,,
11,16,prophetnet,cnndm,4,,
11,16,bart,cnndm,4,,
11,16,bertextabs,cnndm,4,,
11,17,pegasus,cnndm,4,,
11,17,prophetnet,cnndm,5,,
11,17,bart,cnndm,4,,
11,17,bertextabs,cnndm,3,,
11,18,pegasus,cnndm,3,,
11,18,prophetnet,cnndm,3,,
11,18,bart,cnndm,3,,
11,18,bertextabs,cnndm,4,,
11,19,pegasus,cnndm,3,,
11,19,prophetnet,cnndm,4,,
11,19,bart,cnndm,4,,
11,19,bertextabs,cnndm,4,,
11,20,pegasus,cnndm,3,,
11,20,prophetnet,cnndm,2,,
11,20,bart,cnndm,3,,
11,20,bertextabs,cnndm,3,,
12,16,pegasus,cnndm,4,,
12,16,prophetnet,cnndm,4,,
12,16,bart,cnndm,3,,
12,16,bertextabs,cnndm,4,,
12,17,pegasus,cnndm,4,,
12,17,prophetnet,cnndm,4,,
12,17,bart,cnndm,3,,
12,17,bertextabs,cnndm,4,,
12,18,pegasus,cnndm,2,,
12,18,prophetnet,cnndm,3,,
12,18,bart,cnndm,3,,
12,18,bertextabs,cnndm,4,,
12,19,pegasus,cnndm,4,,
12,19,prophetnet,cnndm,4,,
12,19,bart,cnndm,4,,
12,19,bertextabs,cnndm,3,,
12,20,pegasus,cnndm,4,,
12,20,prophetnet,cnndm,4,,
12,20,bart,cnndm,3,,
12,20,bertextabs,cnndm,3,,
13,21,pegasus,cnndm,5,,
13,21,prophetnet,cnndm,4,,
13,21,bart,cnndm,5,,
13,21,bertextabs,cnndm,3,,
13,22,pegasus,cnndm,2,,
13,22,prophetnet,cnndm,4,,
13,22,bart,cnndm,4,,
13,22,bertextabs,cnndm,3,,
13,23,pegasus,cnndm,4,,
13,23,prophetnet,cnndm,2,,
13,23,bart,cnndm,3,,
13,23,bertextabs,cnndm,4,,
13,24,pegasus,cnndm,2,,
13,24,prophetnet,cnndm,3,,
13,24,bart,cnndm,5,,
13,24,bertextabs,cnndm,3,,
13,25,pegasus,cnndm,4,,
13,25,prophetnet,cnndm,3,,
13,25,bart,cnndm,2,,
13,25,bertextabs,cnndm,2,,
14,21,pegasus,cnndm,4,,
14,21,prophetnet,cnndm,4,,
14,21,bart,cnndm,4,,
14,21,bertextabs,cnndm,3,,
14,22,pegasus,cnndm,5,,
14,22,prophetnet,cnndm,3,,
14,22,bart,cnndm,4,,
14,22,bertextabs,cnndm,4,,
14,23,pegasus,cnndm,3,,
14,23,prophetnet,cnndm,5,,
14,23,bart,cnndm,4,,
14,23,bertextabs,cnndm,2,,
14,24,pegasus,cnndm,3,,
14,24,prophetnet,cnndm,2,,
14,24,bart,cnndm,5,,
14,24,bertextabs,cnndm,4,,
14,25,pegasus,cnndm,2,,
14,25,prophetnet,cnndm,4,,
14,25,bart,cnndm,5,,
14,25,bertextabs,cnndm,2,,
15,21,pegasus,cnndm,5,,
15,21,prophetnet,cnndm,4,,
15,21,bart,cnndm,4,,
15,21,bertextabs,cnndm,3,,
15,22,pegasus,cnndm,4,,
15,22,prophetnet,cnndm,4,,
15,22,bart,cnndm,4,,
15,22,bertextabs,cnndm,4,,
15,23,pegasus,cnndm,3,,
15,23,prophetnet,cnndm,4,,
15,23,bart,cnndm,5,,
15,23,bertextabs,cnndm,4,,
15,24,pegasus,cnndm,4,,
15,24,prophetnet,cnndm,5,,
15,24,bart,cnndm,5,,
15,24,bertextabs,cnndm,5,,
15,25,pegasus,cnndm,4,,
15,25,prophetnet,cnndm,4,,
15,25,bart,cnndm,4,,
15,25,bertextabs,cnndm,5,,
16,26,pegasus,cnndm,4,,
16,26,prophetnet,cnndm,4,,
16,26,bart,cnndm,3,,
16,26,bertextabs,cnndm,5,,
16,27,pegasus,cnndm,5,,
16,27,prophetnet,cnndm,4,,
16,27,bart,cnndm,3,,
16,27,bertextabs,cnndm,3,,
16,28,pegasus,cnndm,3,,
16,28,prophetnet,cnndm,4,,
16,28,bart,cnndm,4,,
16,28,bertextabs,cnndm,5,,
16,29,pegasus,cnndm,5,,
16,29,prophetnet,cnndm,2,,
16,29,bart,cnndm,3,,
16,29,bertextabs,cnndm,4,,
16,30,pegasus,cnndm,4,,
16,30,prophetnet,cnndm,4,,
16,30,bart,cnndm,3,,
16,30,bertextabs,cnndm,3,,
17,26,pegasus,cnndm,2,,
17,26,prophetnet,cnndm,5,,
17,26,bart,cnndm,5,,
17,26,bertextabs,cnndm,4,,
17,27,pegasus,cnndm,3,,
17,27,prophetnet,cnndm,5,,
17,27,bart,cnndm,5,,
17,27,bertextabs,cnndm,5,,
17,28,pegasus,cnndm,4,,
17,28,prophetnet,cnndm,5,,
17,28,bart,cnndm,2,,
17,28,bertextabs,cnndm,5,,
17,29,pegasus,cnndm,2,,
17,29,prophetnet,cnndm,5,,
17,29,bart,cnndm,5,,
17,29,bertextabs,cnndm,4,,
17,30,pegasus,cnndm,3,,
17,30,prophetnet,cnndm,5,,
17,30,bart,cnndm,2,,
17,30,bertextabs,cnndm,4,,
18,26,pegasus,cnndm,4,,
18,26,prophetnet,cnndm,4,,
18,26,bart,cnndm,4,,
18,26,bertextabs,cnndm,5,,
18,27,pegasus,cnndm,4,,
18,27,prophetnet,cnndm,5,,
18,27,bart,cnndm,4,,
18,27,bertextabs,cnndm,3,,
18,28,pegasus,cnndm,5,,
18,28,prophetnet,cnndm,5,,
18,28,bart,cnndm,5,,
18,28,bertextabs,cnndm,5,,
18,29,pegasus,cnndm,4,,
18,29,prophetnet,cnndm,5,,
18,29,bart,cnndm,5,,
18,29,bertextabs,cnndm,4,,
18,30,pegasus,cnndm,5,,
18,30,prophetnet,cnndm,5,,
18,30,bart,cnndm,5,,
18,30,bertextabs,cnndm,4,,
19,31,pegasus,cnndm,5,,
19,31,prophetnet,cnndm,3,,
19,31,bart,cnndm,4,,
19,31,bertextabs,cnndm,5,,
19,32,pegasus,cnndm,5,,
19,32,prophetnet,cnndm,5,,
19,32,bart,cnndm,4,,
19,32,bertextabs,cnndm,4,,
19,33,pegasus,cnndm,4,,
19,33,prophetnet,cnndm,5,,
19,33,bart,cnndm,4,,
19,33,bertextabs,cnndm,3,,
19,34,pegasus,cnndm,5,,
19,34,prophetnet,cnndm,4,,
19,34,bart,cnndm,5,,
19,34,bertextabs,cnndm,4,,
19,35,pegasus,cnndm,5,,
19,35,prophetnet,cnndm,3,,
19,35,bart,cnndm,3,,
19,35,bertextabs,cnndm,4,,
20,31,pegasus,cnndm,2,,
20,31,prophetnet,cnndm,3,,
20,31,bart,cnndm,4,,
20,31,bertextabs,cnndm,5,,
20,32,pegasus,cnndm,3,,
20,32,prophetnet,cnndm,5,,
20,32,bart,cnndm,4,,
20,32,bertextabs,cnndm,5,,
20,33,pegasus,cnndm,5,,
20,33,prophetnet,cnndm,4,,
20,33,bart,cnndm,3,,
20,33,bertextabs,cnndm,3,,
20,34,pegasus,cnndm,3,,
20,34,prophetnet,cnndm,5,,
20,34,bart,cnndm,3,,
20,34,bertextabs,cnndm,4,,
20,35,pegasus,cnndm,3,,
20,35,prophetnet,cnndm,4,,
20,35,bart,cnndm,2,,
20,35,bertextabs,cnndm,5,,
21,31,pegasus,cnndm,3,,
21,31,prophetnet,cnndm,2,,
21,31,bart,cnndm,5,,
21,31,bertextabs,cnndm,5,,
21,32,pegasus,cnndm,5,,
21,32,prophetnet,cnndm,4,,
21,32,bart,cnndm,5,,
21,32,bertextabs,cnndm,5,,
21,33,pegasus,cnndm,5,,
21,33,prophetnet,cnndm,5,,
21,33,bart,cnndm,5,,
21,33,bertextabs,cnndm,5,,
21,34,pegasus,cnndm,5,,
21,34,prophetnet,cnndm,5,,
21,34,bart,cnndm,4,,
21,34,bertextabs,cnndm,5,,
21,35,pegasus,cnndm,5,,
21,35,prophetnet,cnndm,2,,
21,35,bart,cnndm,1,,
21,35,bertextabs,cnndm,5,,
22,36,pegasus,cnndm,5,,
22,36,prophetnet,cnndm,5,,
22,36,bart,cnndm,3,,
22,36,bertextabs,cnndm,4,,
22,37,pegasus,cnndm,4,,
22,37,prophetnet,cnndm,5,,
22,37,bart,cnndm,1,,
22,37,bertextabs,cnndm,4,,
22,38,pegasus,cnndm,5,,
22,38,prophetnet,cnndm,2,,
22,38,bart,cnndm,3,,
22,38,bertextabs,cnndm,4,,
22,39,pegasus,cnndm,1,,
22,39,prophetnet,cnndm,3,,
22,39,bart,cnndm,4,,
22,39,bertextabs,cnndm,5,,
22,40,pegasus,cnndm,4,,
22,40,prophetnet,cnndm,1,,
22,40,bart,cnndm,4,,
22,40,bertextabs,cnndm,3,,
23,36,pegasus,cnndm,5,,
23,36,prophetnet,cnndm,5,,
23,36,bart,cnndm,5,,
23,36,bertextabs,cnndm,5,,
23,37,pegasus,cnndm,4,,
23,37,prophetnet,cnndm,5,,
23,37,bart,cnndm,2,,
23,37,bertextabs,cnndm,5,,
23,38,pegasus,cnndm,5,,
23,38,prophetnet,cnndm,4,,
23,38,bart,cnndm,5,,
23,38,bertextabs,cnndm,4,,
23,39,pegasus,cnndm,4,,
23,39,prophetnet,cnndm,4,,
23,39,bart,cnndm,4,,
23,39,bertextabs,cnndm,5,,
23,40,pegasus,cnndm,5,,
23,40,prophetnet,cnndm,2,,
23,40,bart,cnndm,4,,
23,40,bertextabs,cnndm,4,,
24,36,pegasus,cnndm,4,,
24,36,prophetnet,cnndm,4,,
24,36,bart,cnndm,5,,
24,36,bertextabs,cnndm,5,,
24,37,pegasus,cnndm,4,,
24,37,prophetnet,cnndm,4,,
24,37,bart,cnndm,4,,
24,37,bertextabs,cnndm,4,,
24,38,pegasus,cnndm,5,,
24,38,prophetnet,cnndm,4,,
24,38,bart,cnndm,4,,
24,38,bertextabs,cnndm,4,,
24,39,pegasus,cnndm,4,,
24,39,prophetnet,cnndm,4,,
24,39,bart,cnndm,4,,
24,39,bertextabs,cnndm,5,,
24,40,pegasus,cnndm,4,,
24,40,prophetnet,cnndm,5,,
24,40,bart,cnndm,4,,
24,40,bertextabs,cnndm,5,,
25,41,pegasus,cnndm,5,,
25,41,prophetnet,cnndm,3,,
25,41,bart,cnndm,5,,
25,41,bertextabs,cnndm,5,,
25,42,pegasus,cnndm,3,,
25,42,prophetnet,cnndm,3,,
25,42,bart,cnndm,5,,
25,42,bertextabs,cnndm,5,,
25,43,pegasus,cnndm,5,,
25,43,prophetnet,cnndm,2,,
25,43,bart,cnndm,5,,
25,43,bertextabs,cnndm,5,,
25,44,pegasus,cnndm,5,,
25,44,prophetnet,cnndm,3,,
25,44,bart,cnndm,5,,
25,44,bertextabs,cnndm,5,,
25,45,pegasus,cnndm,4,,
25,45,prophetnet,cnndm,3,,
25,45,bart,cnndm,5,,
25,45,bertextabs,cnndm,5,,
26,41,pegasus,cnndm,5,,
26,41,prophetnet,cnndm,4,,
26,41,bart,cnndm,3,,
26,41,bertextabs,cnndm,4,,
26,42,pegasus,cnndm,4,,
26,42,prophetnet,cnndm,5,,
26,42,bart,cnndm,3,,
26,42,bertextabs,cnndm,4,,
26,43,pegasus,cnndm,4,,
26,43,prophetnet,cnndm,3,,
26,43,bart,cnndm,5,,
26,43,bertextabs,cnndm,4,,
26,44,pegasus,cnndm,3,,
26,44,prophetnet,cnndm,4,,
26,44,bart,cnndm,4,,
26,44,bertextabs,cnndm,5,,
26,45,pegasus,cnndm,4,,
26,45,prophetnet,cnndm,4,,
26,45,bart,cnndm,5,,
26,45,bertextabs,cnndm,4,,
27,41,pegasus,cnndm,1,,
27,41,prophetnet,cnndm,5,,
27,41,bart,cnndm,5,,
27,41,bertextabs,cnndm,1,,
27,42,pegasus,cnndm,5,,
27,42,prophetnet,cnndm,3,,
27,42,bart,cnndm,5,,
27,42,bertextabs,cnndm,2,,
27,43,pegasus,cnndm,3,,
27,43,prophetnet,cnndm,2,,
27,43,bart,cnndm,1,,
27,43,bertextabs,cnndm,5,,
27,44,pegasus,cnndm,4,,
27,44,prophetnet,cnndm,4,,
27,44,bart,cnndm,5,,
27,44,bertextabs,cnndm,2,,
27,45,pegasus,cnndm,2,,
27,45,prophetnet,cnndm,1,,
27,45,bart,cnndm,5,,
27,45,bertextabs,cnndm,4,,
28,46,pegasus,cnndm,4,,
28,46,prophetnet,cnndm,4,,
28,46,bart,cnndm,4,,
28,46,bertextabs,cnndm,4,,
28,47,pegasus,cnndm,5,,
28,47,prophetnet,cnndm,4,,
28,47,bart,cnndm,5,,
28,47,bertextabs,cnndm,2,,
28,48,pegasus,cnndm,4,,
28,48,prophetnet,cnndm,4,,
28,48,bart,cnndm,4,,
28,48,bertextabs,cnndm,5,,
28,49,pegasus,cnndm,5,,
28,49,prophetnet,cnndm,5,,
28,49,bart,cnndm,4,,
28,49,bertextabs,cnndm,4,,
28,50,pegasus,cnndm,4,,
28,50,prophetnet,cnndm,4,,
28,50,bart,cnndm,3,,
28,50,bertextabs,cnndm,2,,
29,46,pegasus,cnndm,4,,
29,46,prophetnet,cnndm,5,,
29,46,bart,cnndm,4,,
29,46,bertextabs,cnndm,5,,
29,47,pegasus,cnndm,4,,
29,47,prophetnet,cnndm,3,,
29,47,bart,cnndm,4,,
29,47,bertextabs,cnndm,3,,
29,48,pegasus,cnndm,3,,
29,48,prophetnet,cnndm,4,,
29,48,bart,cnndm,4,,
29,48,bertextabs,cnndm,3,,
29,49,pegasus,cnndm,3,,
29,49,prophetnet,cnndm,3,,
29,49,bart,cnndm,4,,
29,49,bertextabs,cnndm,4,,
29,50,pegasus,cnndm,5,,
29,50,prophetnet,cnndm,4,,
29,50,bart,cnndm,3,,
29,50,bertextabs,cnndm,4,,
30,46,pegasus,cnndm,4,,
30,46,prophetnet,cnndm,5,,
30,46,bart,cnndm,3,,
30,46,bertextabs,cnndm,4,,
30,47,pegasus,cnndm,2,,
30,47,prophetnet,cnndm,4,,
30,47,bart,cnndm,4,,
30,47,bertextabs,cnndm,2,,
30,48,pegasus,cnndm,3,,
30,48,prophetnet,cnndm,2,,
30,48,bart,cnndm,3,,
30,48,bertextabs,cnndm,5,,
30,49,pegasus,cnndm,5,,
30,49,prophetnet,cnndm,4,,
30,49,bart,cnndm,4,,
30,49,bertextabs,cnndm,3,,
30,50,pegasus,cnndm,2,,
30,50,prophetnet,cnndm,2,,
30,50,bart,cnndm,5,,
30,50,bertextabs,cnndm,4,,
31,51,pegasus,cnndm,2,,
31,51,prophetnet,cnndm,4,,
31,51,bart,cnndm,2,,
31,51,bertextabs,cnndm,4,,
31,52,pegasus,cnndm,4,,
31,52,prophetnet,cnndm,4,,
31,52,bart,cnndm,2,,
31,52,bertextabs,cnndm,3,,
31,53,pegasus,cnndm,5,,
31,53,prophetnet,cnndm,4,,
31,53,bart,cnndm,4,,
31,53,bertextabs,cnndm,3,,
31,54,pegasus,cnndm,3,,
31,54,prophetnet,cnndm,4,,
31,54,bart,cnndm,5,,
31,54,bertextabs,cnndm,2,,
31,55,pegasus,cnndm,3,,
31,55,prophetnet,cnndm,4,,
31,55,bart,cnndm,4,,
31,55,bertextabs,cnndm,5,,
32,51,pegasus,cnndm,3,,
32,51,prophetnet,cnndm,5,,
32,51,bart,cnndm,4,,
32,51,bertextabs,cnndm,3,,
32,52,pegasus,cnndm,4,,
32,52,prophetnet,cnndm,3,,
32,52,bart,cnndm,5,,
32,52,bertextabs,cnndm,4,,
32,53,pegasus,cnndm,4,,
32,53,prophetnet,cnndm,4,,
32,53,bart,cnndm,3,,
32,53,bertextabs,cnndm,2,,
32,54,pegasus,cnndm,4,,
32,54,prophetnet,cnndm,5,,
32,54,bart,cnndm,5,,
32,54,bertextabs,cnndm,4,,
32,55,pegasus,cnndm,4,,
32,55,prophetnet,cnndm,2,,
32,55,bart,cnndm,5,,
32,55,bertextabs,cnndm,3,,
33,51,pegasus,cnndm,5,,
33,51,prophetnet,cnndm,5,,
33,51,bart,cnndm,5,,
33,51,bertextabs,cnndm,5,,
33,52,pegasus,cnndm,4,,
33,52,prophetnet,cnndm,4,,
33,52,bart,cnndm,4,,
33,52,bertextabs,cnndm,4,,
33,53,pegasus,cnndm,5,,
33,53,prophetnet,cnndm,4,,
33,53,bart,cnndm,5,,
33,53,bertextabs,cnndm,5,,
33,54,pegasus,cnndm,3,,
33,54,prophetnet,cnndm,3,,
33,54,bart,cnndm,4,,
33,54,bertextabs,cnndm,4,,
33,55,pegasus,cnndm,4,,
33,55,prophetnet,cnndm,5,,
33,55,bart,cnndm,5,,
33,55,bertextabs,cnndm,4,,
34,56,pegasus,cnndm,3,,
34,56,prophetnet,cnndm,5,,
34,56,bart,cnndm,4,,
34,56,bertextabs,cnndm,4,,
34,57,pegasus,cnndm,4,,
34,57,prophetnet,cnndm,4,,
34,57,bart,cnndm,4,,
34,57,bertextabs,cnndm,3,,
34,58,pegasus,cnndm,3,,
34,58,prophetnet,cnndm,4,,
34,58,bart,cnndm,4,,
34,58,bertextabs,cnndm,3,,
34,59,pegasus,cnndm,2,,
34,59,prophetnet,cnndm,4,,
34,59,bart,cnndm,4,,
34,59,bertextabs,cnndm,3,,
34,60,pegasus,cnndm,4,,
34,60,prophetnet,cnndm,4,,
34,60,bart,cnndm,4,,
34,60,bertextabs,cnndm,3,,
35,56,pegasus,cnndm,2,,
35,56,prophetnet,cnndm,5,,
35,56,bart,cnndm,4,,
35,56,bertextabs,cnndm,3,,
35,57,pegasus,cnndm,3,,
35,57,prophetnet,cnndm,3,,
35,57,bart,cnndm,4,,
35,57,bertextabs,cnndm,2,,
35,58,pegasus,cnndm,5,,
35,58,prophetnet,cnndm,3,,
35,58,bart,cnndm,3,,
35,58,bertextabs,cnndm,4,,
35,59,pegasus,cnndm,2,,
35,59,prophetnet,cnndm,4,,
35,59,bart,cnndm,3,,
35,59,bertextabs,cnndm,2,,
35,60,pegasus,cnndm,5,,
35,60,prophetnet,cnndm,3,,
35,60,bart,cnndm,4,,
35,60,bertextabs,cnndm,4,,
36,56,pegasus,cnndm,5,,
36,56,prophetnet,cnndm,5,,
36,56,bart,cnndm,5,,
36,56,bertextabs,cnndm,5,,
36,57,pegasus,cnndm,4,,
36,57,prophetnet,cnndm,3,,
36,57,bart,cnndm,3,,
36,57,bertextabs,cnndm,3,,
36,58,pegasus,cnndm,3,,
36,58,prophetnet,cnndm,3,,
36,58,bart,cnndm,3,,
36,58,bertextabs,cnndm,3,,
36,59,pegasus,cnndm,2,,
36,59,prophetnet,cnndm,3,,
36,59,bart,cnndm,3,,
36,59,bertextabs,cnndm,2,,
36,60,pegasus,cnndm,3,,
36,60,prophetnet,cnndm,3,,
36,60,bart,cnndm,4,,
36,60,bertextabs,cnndm,3,,
37,61,pegasus,cnndm,4,,
37,61,prophetnet,cnndm,2,,
37,61,bart,cnndm,4,,
37,61,bertextabs,cnndm,4,,
37,62,pegasus,cnndm,5,,
37,62,prophetnet,cnndm,4,,
37,62,bart,cnndm,4,,
37,62,bertextabs,cnndm,4,,
37,63,pegasus,cnndm,3,,
37,63,prophetnet,cnndm,2,,
37,63,bart,cnndm,4,,
37,63,bertextabs,cnndm,5,,
37,64,pegasus,cnndm,5,,
37,64,prophetnet,cnndm,3,,
37,64,bart,cnndm,5,,
37,64,bertextabs,cnndm,5,,
37,65,pegasus,cnndm,5,,
37,65,prophetnet,cnndm,5,,
37,65,bart,cnndm,5,,
37,65,bertextabs,cnndm,5,,
38,61,pegasus,cnndm,5,,
38,61,prophetnet,cnndm,5,,
38,61,bart,cnndm,4,,
38,61,bertextabs,cnndm,4,,
38,62,pegasus,cnndm,4,,
38,62,prophetnet,cnndm,4,,
38,62,bart,cnndm,5,,
38,62,bertextabs,cnndm,3,,
38,63,pegasus,cnndm,4,,
38,63,prophetnet,cnndm,5,,
38,63,bart,cnndm,5,,
38,63,bertextabs,cnndm,4,,
38,64,pegasus,cnndm,5,,
38,64,prophetnet,cnndm,4,,
38,64,bart,cnndm,5,,
38,64,bertextabs,cnndm,5,,
38,65,pegasus,cnndm,4,,
38,65,prophetnet,cnndm,4,,
38,65,bart,cnndm,5,,
38,65,bertextabs,cnndm,3,,
39,61,pegasus,cnndm,4,,
39,61,prophetnet,cnndm,4,,
39,61,bart,cnndm,5,,
39,61,bertextabs,cnndm,5,,
39,62,pegasus,cnndm,4,,
39,62,prophetnet,cnndm,5,,
39,62,bart,cnndm,5,,
39,62,bertextabs,cnndm,5,,
39,63,pegasus,cnndm,5,,
39,63,prophetnet,cnndm,5,,
39,63,bart,cnndm,5,,
39,63,bertextabs,cnndm,4,,
39,64,pegasus,cnndm,4,,
39,64,prophetnet,cnndm,5,,
39,64,bart,cnndm,4,,
39,64,bertextabs,cnndm,5,,
